Questioner.Quote.Offer,Lender ID,Amortization,Status,Month#,TopicCreatedOn
5ef080c7-a749-45da-80fe-196d7e4f61b2d3d538a6-2b4e-4a7e-9b2c-e6607260634a51abfaf8-6256-4eac-9228-359e4df293e7,83,Variable,1,6,2018-06-01 13:40:07 GMT
485ca507-7ebf-43d4-a7d1-754af0f9256aa1b6f4f7-4de8-4daf-a324-464a8631abb178b414cd-9e59-456a-9108-a8a2dc7ca57b,83,Variable,1,6,2018-06-01 13:57:57 GMT
5e5477d9-fba0-49a4-b977-bd4774e64f9ed104fc9c-4906-497b-beab-02058b78cbd8e897eaf5-9e7f-4f95-b293-6601c883b3e8,83,Variable,1,6,2018-06-01 14:36:36 GMT
07b9ccd9-adc7-45ad-b650-0c0471a0fc5a50687c40-114c-4d23-972c-f28e7f7f2e0fc7138c7d-acd8-4e1d-8bc9-a4dc77bf9910,83,Variable,1,6,2018-06-01 17:55:18 GMT
3a55e9a0-3a75-49b8-9cca-c5b468f1f9ee126e8eb5-160f-434d-987b-262682c8cc18af1ff76b-fa93-4bfa-8bd8-fac546b3fe03,83,Variable,1,6,2018-06-01 20:51:49 GMT
a443cf71-6454-42a4-9427-e774f4c533025fcc6285-c1ef-4c84-b596-a4bfb5c3f23f446ec3d2-f183-43c6-99ed-1d2ac71ba925,83,Variable,1,6,2018-06-01 21:32:24 GMT
1101b4e4-96db-4480-8f8f-4bf3fdb1cc152e8f6dc3-e9f0-4430-91f8-d50666000c62d174e314-a6f4-4427-8cd3-14cf9bd3805b,83,Variable,1,6,2018-06-02 04:41:28 GMT
d02c6903-83bd-42cb-bea2-a9a3efef2d031431197f-eee1-4dea-9f0a-ce967308b58f1badad3c-11a3-496f-b685-4e3d66a11141,83,Variable,1,6,2018-06-02 14:00:05 GMT
058df67b-1d7e-43e7-94ac-9e7ad8d6cc5ee51b92c4-1420-4ed8-accc-21a848fbc267cc6c6323-32cf-46d6-be18-0baa856ac7df,83,Variable,1,6,2018-06-03 00:20:54 GMT
7b093f5c-e224-4759-b471-c88190f795d99bbf97e8-2a71-4a0c-bab2-9f00d01d6a1cdf8dadd9-6c05-4d20-95c8-3141df9eed3f,7,Variable,1,6,2018-06-03 02:58:15 GMT
5563d565-71d5-4e1f-a689-60ab0cbde4f52b49aef2-29a0-4494-a803-fc85c5ee2a75e654a759-7b25-4058-88b4-0cbc8548a53e,83,Variable,1,6,2018-06-03 04:18:09 GMT
72fd71fd-495d-4967-a943-56d16b97f271d59c4db2-e3bb-45ec-8278-10e9c1d2d780c2c0dcfa-9fbc-4657-8fa6-bf65eb18b817,83,Variable,1,6,2018-06-03 15:56:01 GMT
72fd71fd-495d-4967-a943-56d16b97f271d59c4db2-e3bb-45ec-8278-10e9c1d2d780c2c0dcfa-9fbc-4657-8fa6-bf65eb18b817,83,Variable,1,6,2018-06-03 16:01:46 GMT
5162cd33-e766-4a81-ad85-8799139fe19a8a51daf3-89d0-4305-8f96-f2f5a634350b38cdef8c-0d23-4af4-8eca-d43808e38653,83,Variable,1,6,2018-06-03 17:07:07 GMT
0d432850-caa5-4fff-8f02-f7a22ebf59a11315a085-3a8e-4029-96e1-93a346fa0f5320a69423-e4aa-49b3-adae-11e3e8138799,83,Variable,1,6,2018-06-03 17:23:15 GMT
110e30ac-1f9c-44e5-a1c5-4dcd3a316e4faea7eaa4-7780-4c5c-a737-1301f03a9a0947d646de-dfd8-4fa3-a6a8-d83017d65c92,83,Variable,1,6,2018-06-03 18:44:22 GMT
ac9c4758-1e27-490a-81c6-3cc804cf236d06d4da1a-8e37-4f9a-b4fd-438b3b580f5cf431bc36-3090-41e3-839d-c71e428ef91a,83,Variable,1,6,2018-06-03 18:47:58 GMT
a94343dc-72dc-4d4c-b17e-adf9491aba81b41fd7d9-db54-4600-9362-553f49a6a531aedeab91-2e42-496f-b9a1-3eda64763c48,83,Variable,1,6,2018-06-03 19:42:03 GMT
